OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430713                                            
Config info:
GSC,1.000
LaserDAC,215
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
375,132,34,6,0,2,0,0,0,0,0,0,0,0,0,0,15,21,25,0,4.913,1.387,35.983,41.982,42.135
392,148,38,6,0,0,1,0,0,0,0,0,0,0,0,0,14,22,0,0,5.093,1.387,37.393,43.721,44.033
366,126,38,8,0,1,1,0,0,0,0,0,0,0,0,0,15,21,23,0,5.012,1.387,34.758,41.056,41.419
400,140,35,7,1,0,1,0,0,0,0,0,0,0,0,0,16,22,0,0,4.811,1.383,39.104,45.618,45.960
366,127,34,5,1,1,1,0,0,0,0,0,0,0,0,0,16,23,9,0,4.716,1.387,36.486,42.755,43.136
354,134,39,8,0,1,0,1,2,0,0,0,0,0,0,0,15,20,43,27,4.822,1.387,36.329,43.623,51.297
369,110,36,4,0,1,1,0,0,0,1,0,0,0,0,0,15,22,23,0,4.877,1.387,34.061,39.939,55.968
395,132,46,4,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,4.905,1.387,38.349,44.917,44.996
366,120,34,3,0,0,0,0,1,0,0,0,0,0,0,0,16,22,0,0,4.761,1.387,35.372,41.139,44.519
360,143,41,10,0,1,0,0,0,0,0,0,0,0,0,0,16,21,23,0,4.692,1.383,38.931,46.099,46.242
376,142,44,4,0,1,1,1,0,0,0,0,0,0,0,0,15,19,23,29,4.810,1.387,38.791,46.090,47.457
356,125,39,7,1,0,0,1,0,0,0,0,0,0,0,0,16,18,0,19,4.716,1.387,36.385,43.030,44.141
378,149,44,11,0,2,1,1,0,1,0,0,0,0,0,0,15,20,23,27,4.822,1.387,39.709,47.904,57.773
368,127,38,11,0,0,0,0,0,1,1,0,0,0,0,0,16,16,0,0,4.721,1.387,37.203,44.025,68.934
350,145,34,4,0,0,0,0,0,0,0,0,0,0,0,1,15,19,0,0,4.825,1.387,36.385,42.269,84.462
359,154,39,7,0,0,0,1,0,0,0,0,0,0,0,0,16,20,0,33,4.723,1.383,39.310,46.372,47.474
400,147,26,5,0,1,1,0,0,0,1,0,0,0,0,0,15,20,27,0,4.826,1.387,38.426,44.313,60.502
373,126,38,7,0,3,1,0,0,0,0,0,0,0,0,0,15,19,28,0,4.879,1.387,36.078,42.755,43.206
377,140,34,4,2,2,0,0,0,0,0,0,0,0,0,0,15,18,26,0,4.906,1.387,36.837,43.013,43.181
402,126,36,6,1,2,0,0,0,0,0,0,1,0,0,0,15,20,31,0,4.920,1.387,37.067,43.256,95.438
359,146,37,4,0,1,0,0,0,0,0,0,0,0,0,0,15,27,23,0,4.926,1.361,37.234,43.502,43.613
396,128,20,7,1,1,0,0,0,0,0,0,0,0,0,0,15,20,23,0,4.930,1.387,35.103,39.994,40.102
356,149,36,3,1,0,0,0,1,0,0,0,0,0,0,0,16,19,0,0,4.773,1.382,37.825,44.316,47.715
388,117,32,8,1,0,1,0,0,0,0,0,0,0,0,0,15,27,0,0,4.852,1.387,35.601,41.477,41.813
364,145,41,6,0,3,1,1,0,0,0,0,0,0,0,1,15,21,28,29,4.892,1.387,37.528,44.900,87.878
392,144,38,7,1,2,0,0,0,0,0,0,0,0,0,0,14,20,24,0,5.081,1.387,37.207,43.666,43.833
