Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_013
Test Start Time,10:51:06
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.047
Mass Minimum [mg/m3],0.019
Mass Maximum [mg/m3],0.427
Mass TWA [mg/m3],0.137
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
93120,0.026,,
93240,0.026,,
93360,0.026,,
93480,0.026,,
93600,0.026,,
93720,0.026,,
93840,0.026,,
93960,0.026,,
94080,0.026,,
94200,0.026,,
94320,0.026,,
94440,0.026,,
94560,0.026,,
94680,0.026,,
94800,0.026,,
94920,0.025,,
95040,0.026,,
95160,0.025,,
95280,0.025,,
95400,0.025,,
95520,0.025,,
95640,0.025,,
95760,0.025,,
95880,0.025,,
96000,0.024,,
96120,0.024,,
96240,0.024,,
96360,0.024,,
96480,0.024,,
96600,0.024,,
96720,0.024,,
96840,0.024,,
96960,0.024,,
97080,0.024,,
97200,0.024,,
97320,0.024,,
97440,0.024,,
97560,0.024,,
97680,0.024,,
97800,0.023,,
97920,0.024,,
98040,0.024,,
98160,0.024,,
98280,0.023,,
98400,0.023,,
98520,0.023,,
98640,0.023,,
98760,0.023,,
98880,0.023,,
99000,0.023,,
99120,0.023,,
99240,0.023,,
99360,0.023,,
99480,0.023,,
99600,0.023,,
99720,0.023,,
99840,0.023,,
99960,0.023,,
100080,0.023,,
100200,0.023,,
100320,0.023,,
100440,0.023,,
100560,0.022,,
100680,0.023,,
100800,0.023,,
100920,0.023,,
101040,0.023,,
101160,0.023,,
101280,0.022,,
101400,0.023,,
101520,0.023,,
101640,0.023,,
101760,0.023,,
101880,0.023,,
102000,0.022,,
102120,0.023,,
102240,0.022,,
102360,0.022,,
102480,0.022,,
102600,0.022,,
102720,0.023,,
102840,0.023,,
102960,0.023,,
103080,0.023,,
103200,0.023,,
