Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530150710
Firmware Version,3.5
Calibration Date,2017/05/02
Test Name,IAQ_OUTDOOR_027
Test Start Time,10:51:04
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.041
Mass Minimum [mg/m3],0.014
Mass Maximum [mg/m3],0.360
Mass TWA [mg/m3],0.120
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
140040,0.016,,
140160,0.016,,
140280,0.016,,
140400,0.016,,
140520,0.016,,
140640,0.016,,
140760,0.016,,
140880,0.016,,
141000,0.016,,
141120,0.016,,
141240,0.016,,
141360,0.016,,
141480,0.016,,
141600,0.016,,
141720,0.015,,
141840,0.015,,
141960,0.015,,
142080,0.015,,
142200,0.015,,
142320,0.015,,
142440,0.015,,
142560,0.015,,
142680,0.015,,
142800,0.015,,
142920,0.015,,
143040,0.015,,
143160,0.015,,
143280,0.015,,
143400,0.015,,
143520,0.015,,
143640,0.014,,
143760,0.015,,
143880,0.015,,
144000,0.015,,
144120,0.015,,
144240,0.015,,
144360,0.015,,
144480,0.015,,
144600,0.015,,
144720,0.015,,
144840,0.015,,
144960,0.015,,
145080,0.015,,
145200,0.015,,
145320,0.015,,
145440,0.015,,
145560,0.015,,
145680,0.015,,
145800,0.015,,
145920,0.015,,
146040,0.015,,
146160,0.015,,
146280,0.015,,
146400,0.015,,
146520,0.015,,
146640,0.015,,
146760,0.015,,
146880,0.015,,
147000,0.015,,
147120,0.016,,
147240,0.015,,
147360,0.015,,
147480,0.015,,
147600,0.015,,
147720,0.015,,
147840,0.015,,
147960,0.015,,
148080,0.015,,
148200,0.015,,
148320,0.015,,
148440,0.015,,
148560,0.015,,
148680,0.015,,
148800,0.015,,
148920,0.015,,
149040,0.015,,
149160,0.015,,
149280,0.015,,
149400,0.015,,
149520,0.015,,
149640,0.015,,
149760,0.015,,
149880,0.015,,
150000,0.015,,
150120,0.015,,
150240,0.015,,
150360,0.015,,
150480,0.015,,
150600,0.015,,
150720,0.015,,
150840,0.015,,
150960,0.015,,
151080,0.015,,
151200,0.015,,
151320,0.015,,
151440,0.015,,
151560,0.015,,
151680,0.015,,
151800,0.015,,
151920,0.015,,
152040,0.015,,
152160,0.015,,
152280,0.015,,
152400,0.015,,
152520,0.015,,
152640,0.015,,
152760,0.015,,
152880,0.015,,
153000,0.015,,
153120,0.016,,
153240,0.016,,
153360,0.016,,
153480,0.016,,
153600,0.016,,
153720,0.016,,
153840,0.015,,
153960,0.015,,
154080,0.015,,
154200,0.015,,
154320,0.015,,
154440,0.015,,
154560,0.015,,
154680,0.015,,
154800,0.016,,
154920,0.016,,
155040,0.017,,
155160,0.017,,
155280,0.017,,
155400,0.017,,
155520,0.017,,
155640,0.017,,
155760,0.018,,
155880,0.018,,
156000,0.017,,
156120,0.016,,
156240,0.016,,
156360,0.016,,
156480,0.015,,
156600,0.016,,
156720,0.016,,
156840,0.016,,
156960,0.016,,
157080,0.016,,
157200,0.016,,
157320,0.016,,
157440,0.016,,
157560,0.016,,
157680,0.016,,
157800,0.017,,
157920,0.017,,
158040,0.018,,
158160,0.017,,
158280,0.017,,
158400,0.017,,
158520,0.017,,
158640,0.017,,
158760,0.017,,
158880,0.017,,
159000,0.017,,
159120,0.017,,
159240,0.017,,
159360,0.017,,
159480,0.017,,
159600,0.017,,
159720,0.017,,
159840,0.017,,
159960,0.017,,
160080,0.017,,
160200,0.017,,
160320,0.016,,
160440,0.016,,
160560,0.017,,
160680,0.016,,
160800,0.016,,
160920,0.016,,
161040,0.016,,
161160,0.016,,
161280,0.016,,
161400,0.016,,
161520,0.016,,
161640,0.016,,
161760,0.016,,
161880,0.016,,
162000,0.016,,
162120,0.016,,
162240,0.017,,
162360,0.017,,
162480,0.017,,
162600,0.016,,
162720,0.016,,
162840,0.016,,
162960,0.016,,
163080,0.016,,
163200,0.016,,
163320,0.016,,
163440,0.017,,
163560,0.017,,
163680,0.017,,
163800,0.016,,
163920,0.016,,
164040,0.017,,
164160,0.016,,
164280,0.016,,
164400,0.016,,
164520,0.017,,
164640,0.017,,
164760,0.016,,
164880,0.016,,
165000,0.016,,
165120,0.016,,
165240,0.016,,
165360,0.016,,
165480,0.016,,
165600,0.017,,
165720,0.016,,
165840,0.016,,
165960,0.016,,
166080,0.017,,
166200,0.017,,
166320,0.017,,
166440,0.016,,
166560,0.016,,
166680,0.016,,
166800,0.016,,
166920,0.016,,
167040,0.016,,
167160,0.016,,
167280,0.016,,
167400,0.016,,
167520,0.016,,
167640,0.016,,
167760,0.017,,
167880,0.016,,
168000,0.016,,
168120,0.017,,
168240,0.016,,
168360,0.016,,
168480,0.017,,
