OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430716                                            
Config info:
GSC,1.000
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
2389,731,232,39,12,5,4,3,3,1,0,1,0,0,0,0,16,20,19,38,4.625,1.387,234.965,277.815,339.285
2347,747,235,46,10,5,3,2,1,1,1,0,0,1,0,0,16,19,22,24,4.625,1.382,235.383,278.112,366.687
2368,714,240,35,5,7,9,2,0,0,1,0,0,0,0,0,16,26,25,30,4.625,1.386,232.908,275.425,297.243
2460,726,224,48,9,3,4,1,0,1,1,0,0,0,0,0,16,18,31,11,4.625,1.386,237.819,278.813,306.984
2387,715,245,48,6,6,2,3,1,0,0,0,0,0,0,0,16,20,20,26,4.625,1.348,241.717,285.508,293.658
2433,652,225,51,10,8,4,2,2,1,1,0,1,0,0,0,16,19,21,18,4.625,1.386,229.461,271.046,362.670
2447,685,228,49,7,3,4,2,1,0,0,0,0,0,0,0,16,19,12,25,4.625,1.386,233.639,274.384,281.661
2386,710,217,51,8,6,6,6,0,1,0,1,0,0,0,0,16,20,25,32,4.625,1.382,232.134,274.598,329.646
2464,648,258,39,8,5,1,4,0,2,0,1,0,0,0,0,16,19,24,20,4.625,1.386,234.202,276.406,336.667
2441,689,255,43,5,3,5,2,1,1,1,0,0,0,0,0,16,19,42,33,4.625,1.386,236.584,279.518,312.380
2361,688,229,41,7,8,5,1,0,0,0,1,0,0,0,0,16,19,19,41,4.625,1.386,228.935,269.552,310.246
2355,730,210,49,11,7,4,2,3,0,2,0,0,0,1,0,16,21,25,20,4.625,1.386,230.754,272.307,370.417
2381,709,235,61,6,4,4,1,0,3,1,0,0,0,0,0,16,20,24,33,4.625,1.386,233.463,276.122,321.972
2427,717,213,40,10,8,3,4,0,2,0,0,0,0,0,0,16,21,23,29,4.625,1.381,234.436,275.349,298.901
2416,672,220,53,10,5,3,2,1,0,0,0,0,0,0,0,16,20,21,41,4.625,1.386,229.863,270.255,277.393
2484,764,210,45,4,3,9,2,0,0,0,0,0,0,0,0,16,19,26,20,4.625,1.386,241.028,282.111,287.210
2507,691,237,38,6,10,3,0,0,0,0,0,1,0,0,0,16,19,24,0,4.625,1.386,238.277,279.025,336.157
2465,739,229,37,6,7,1,2,2,1,0,1,0,0,0,0,16,21,19,32,4.625,1.387,239.493,280.690,336.929
2470,720,253,43,5,2,1,3,1,0,0,0,1,0,0,0,16,18,15,26,4.625,1.386,240.967,283.211,346.042
2545,721,243,38,7,8,4,2,2,1,1,0,0,0,0,0,16,21,25,25,4.625,1.383,244.720,288.070,324.390
2489,744,242,54,6,3,1,0,0,0,0,1,0,0,0,0,16,20,23,0,4.625,1.386,243.497,285.253,323.707
2470,773,206,61,6,4,4,0,1,1,0,0,0,0,0,0,16,19,20,0,4.625,1.387,241.197,282.257,296.314
2494,725,229,46,10,7,5,2,1,1,1,0,0,0,0,0,16,18,33,23,4.625,1.386,240.235,282.963,316.030
2435,730,252,40,11,5,3,3,1,0,0,0,0,0,0,0,16,19,20,22,4.625,1.386,239.893,283.379,291.561
2375,681,230,31,3,4,3,5,2,1,0,0,0,0,0,0,16,20,25,34,4.625,1.386,228.640,268.894,291.163
2453,706,229,47,8,7,3,4,0,0,0,0,0,0,0,0,16,20,26,27,4.625,1.383,236.738,278.560,284.423
2375,688,213,35,7,4,0,1,2,0,1,0,0,0,0,0,16,20,27,31,4.625,1.387,227.496,265.227,290.337
2482,730,257,44,5,4,5,1,1,1,0,0,0,0,0,0,15,20,20,35,4.774,1.386,235.535,277.895,292.760
2489,759,239,39,5,3,1,2,0,0,0,0,1,0,0,0,16,20,14,21,4.698,1.386,240.192,280.667,338.139
2465,729,221,47,9,0,5,6,1,1,0,0,0,0,0,0,16,19,0,23,4.661,1.386,236.115,277.859,298.058
2484,715,227,47,8,7,2,1,0,3,0,0,0,0,0,0,16,19,20,29,4.643,1.383,238.146,279.394,308.233
2472,723,225,43,7,6,5,3,0,1,0,0,0,0,0,0,16,20,20,38,4.634,1.386,237.677,279.205,293.237
2408,692,225,54,10,5,4,0,1,2,0,1,0,0,0,0,16,20,21,0,4.630,1.386,231.754,273.076,333.376
2455,732,223,43,5,7,1,0,0,0,0,0,0,0,0,0,16,20,20,0,4.627,1.386,237.656,277.214,278.339
2409,735,239,40,8,3,1,1,1,0,0,0,0,0,0,0,16,20,24,13,4.626,1.387,237.128,278.012,283.460
2478,680,243,49,13,3,0,0,0,0,0,0,0,0,0,0,16,20,29,0,4.626,1.386,236.710,277.389,278.218
2451,702,229,49,4,4,4,1,1,0,0,0,0,0,0,0,16,20,23,49,4.625,1.383,236.087,276.909,283.176
2467,702,253,48,7,7,3,1,1,1,0,0,0,0,0,0,16,21,26,27,4.625,1.386,239.312,282.592,297.573
2534,699,287,47,7,4,2,1,0,0,0,0,0,0,0,0,16,21,24,27,4.625,1.386,246.768,291.682,294.097
2439,708,243,45,10,5,3,3,1,0,0,0,0,0,0,0,16,19,22,29,4.625,1.387,237.047,279.677,287.853
2481,707,232,43,5,5,3,2,1,0,0,0,1,0,0,0,16,20,27,21,4.625,1.386,237.875,278.828,341.239
2463,761,217,47,6,6,4,0,1,0,1,0,0,1,0,0,15,21,19,0,4.774,1.386,232.977,272.636,347.904
2521,777,260,34,8,7,2,1,1,0,0,0,0,0,0,0,15,17,20,25,4.852,1.383,238.868,280.826,286.457
2487,722,253,37,19,6,3,0,0,0,0,0,0,0,0,0,16,19,17,0,4.736,1.386,236.544,278.612,280.352
2450,750,231,46,5,4,3,2,0,1,0,0,0,0,0,0,16,19,18,32,4.680,1.387,237.383,278.426,290.692
2503,721,231,38,4,5,1,0,1,1,0,1,0,0,0,0,16,20,22,0,4.652,1.386,238.723,278.409,328.765
2460,734,233,45,7,4,3,0,1,0,0,0,0,0,0,0,16,20,21,0,4.639,1.386,238.805,279.786,284.752
2410,683,248,40,12,6,5,1,3,2,0,0,0,0,0,0,16,19,20,29,4.632,1.387,233.105,276.467,307.533
2435,723,263,43,7,9,3,2,3,0,1,0,1,0,0,0,16,21,27,24,4.628,1.383,241.050,286.213,372.401
2445,703,242,58,7,7,1,6,1,0,1,0,0,0,0,0,16,19,20,27,4.627,1.386,237.181,280.973,308.356
2479,737,259,36,7,7,4,3,0,0,1,0,0,0,0,0,16,18,26,19,4.626,1.386,243.627,287.561,309.152
2508,734,217,41,9,3,1,1,1,0,0,0,0,0,0,0,16,21,30,25,4.625,1.386,240.175,279.577,285.012
